query_id,query_type,system,depth,complete,ndcg_at_10,map,map_at_10,p_at_5,p_at_10,recall_at_10,mrr,mrr_at_10
q06,textual,ocr_vlm_hybrid_full,50,True,1.0,1.0,1.0,0.4,0.2,1.0,1.0,1.0
q06,textual,ocr_vlm_hybrid_segmented,50,True,1.0,1.0,1.0,0.4,0.2,1.0,1.0,1.0
q06,textual,bm25_ocr,10,False,1.0,,1.0,0.4,0.2,1.0,,1.0
q06,textual,bm25_fusion,10,False,1.0,,1.0,0.4,0.2,1.0,,1.0
q06,textual,clip_zeroshot,10,False,0.6509209298071326,,0.5,0.4,0.2,1.0,,0.5
q07,textual,solo_ocr,50,True,0.9674679834891693,0.9166666666666666,0.9166666666666666,0.6,0.3,1.0,1.0,1.0
q07,textual,solo_vlm,50,True,1.0,1.0,1.0,0.6,0.3,1.0,1.0,1.0
q07,textual,ocr_vlm,50,True,1.0,1.0,1.0,0.6,0.3,1.0,1.0,1.0
q07,textual,ocr_vlm_hybrid_full,50,True,0.46927872602275644,0.4071146245059288,0.3333333333333333,0.2,0.1,0.3333333333333333,1.0,1.0
q07,textual,ocr_vlm_hybrid_segmented,50,True,0.9469024295259745,0.8666666666666667,0.8666666666666667,0.6,0.3,1.0,1.0,1.0
q07,textual,bm25_ocr,10,False,0.9066276098484507,,0.7777777777777778,0.4,0.3,1.0,,1.0
q07,textual,bm25_fusion,10,False,1.0,,1.0,0.6,0.3,1.0,,1.0
q07,textual,clip_zeroshot,10,False,0.46927872602275644,,0.3333333333333333,0.2,0.1,0.3333333333333333,,1.0
q08,iconografica_simple,solo_ocr,50,True,0.0,0.09792586069842663,0.0,0.0,0.0,0.0,0.0625,0.0
q08,iconografica_simple,solo_vlm,50,True,0.19519002499605084,0.18294214237419104,0.08333333333333333,0.2,0.1,0.25,0.3333333333333333,0.3333333333333333
q08,iconografica_simple,ocr_vlm,50,True,0.5032251913410369,0.4180555555555555,0.3,0.2,0.2,0.5,1.0,1.0
q08,iconografica_simple,ocr_vlm_hybrid_full,50,True,0.8318724637288826,0.8333333333333334,0.75,0.6,0.3,0.75,1.0,1.0
q08,iconografica_simple,ocr_vlm_hybrid_segmented,50,True,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0
q08,iconografica_simple,bm25_ocr,10,False,0.4582033340096983,,0.2875,0.4,0.3,0.75,,0.25
q08,iconografica_simple,bm25_fusion,10,False,1.0,,1.0,0.8,0.4,1.0,,1.0
q08,iconografica_simple,clip_zeroshot,10,False,0.4200288571308283,,0.22083333333333333,0.2,0.3,0.75,,0.25
q09,iconografica_simple,solo_ocr,50,True,0.4103737754674528,0.30312319148911804,0.1982142857142857,0.2,0.3,0.375,1.0,1.0
q09,iconografica_simple,solo_vlm,50,True,0.5456574035212369,0.43536561345211955,0.32638888888888884,0.4,0.4,0.5,1.0,1.0
q09,iconografica_simple,ocr_vlm,50,True,0.4695140628038534,0.3815561468416053,0.2708333333333333,0.4,0.3,0.375,1.0,1.0
q09,iconografica_simple,ocr_vlm_hybrid_full,50,True,0.2751798419875071,0.2695878623188406,0.11458333333333331,0.2,0.3,0.375,0.25,0.25
q09,iconografica_simple,ocr_vlm_hybrid_segmented,50,True,0.612119969720292,0.5457338856795378,0.425,0.6,0.4,0.5,1.0,1.0
q09,iconografica_simple,bm25_ocr,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q09,iconografica_simple,bm25_fusion,10,False,0.5390031312763821,,0.375,0.6,0.3,0.375,,1.0
q09,iconografica_simple,clip_zeroshot,10,False,0.6368547259115426,,0.475,0.8,0.4,0.5,,1.0
q10,iconografica_simple,solo_ocr,50,True,0.18457569677956817,0.09401709401709402,0.05555555555555555,0.0,0.1,0.5,0.1111111111111111,0.1111111111111111
q10,iconografica_simple,solo_vlm,50,True,0.3065735963827292,0.20238095238095238,0.16666666666666666,0.2,0.1,0.5,0.3333333333333333,0.3333333333333333
q10,iconografica_simple,ocr_vlm,50,True,0.21840743681816419,0.15476190476190477,0.08333333333333333,0.0,0.1,0.5,0.16666666666666666,0.16666666666666666
q10,iconografica_simple,ocr_vlm_hybrid_full,50,True,0.7977228895450266,0.6111111111111112,0.6111111111111112,0.2,0.2,1.0,1.0,1.0
q10,iconografica_simple,ocr_vlm_hybrid_segmented,50,True,0.6131471927654584,0.5232558139534884,0.5,0.2,0.1,0.5,1.0,1.0
q10,iconografica_simple,bm25_ocr,10,False,0.23719771276929622,,0.1,0.2,0.1,0.5,,0.2
q10,iconografica_simple,bm25_fusion,10,False,0.6131471927654584,,0.5,0.2,0.1,0.5,,1.0
q10,iconografica_simple,clip_zeroshot,10,False,0.23719771276929622,,0.1,0.2,0.1,0.5,,0.2
q11,iconografica_simple,solo_ocr,50,True,0.08514311764162098,0.20223984893381447,0.02,0.2,0.1,0.1,0.2,0.2
q11,iconografica_simple,solo_vlm,50,True,0.3783033006761697,0.3653685906702595,0.19444444444444445,0.4,0.4,0.4,0.5,0.5
q11,iconografica_simple,ocr_vlm,50,True,0.21222636597291458,0.3290638881815352,0.07857142857142857,0.2,0.2,0.2,0.5,0.5
q11,iconografica_simple,ocr_vlm_hybrid_full,50,True,0.5100691314582919,0.4608289133686931,0.32166666666666666,0.8,0.4,0.4,1.0,1.0
q11,iconografica_simple,ocr_vlm_hybrid_segmented,50,True,0.7917267193679838,0.7517857142857143,0.6732142857142857,1.0,0.7,0.7,1.0,1.0
q11,iconografica_simple,bm25_ocr,10,False,0.1635413866202963,,0.05333333333333333,0.2,0.2,0.2,,0.2
q11,iconografica_simple,bm25_fusion,10,False,0.650033222048579,,0.5282142857142857,0.8,0.7,0.7,,0.5
q11,iconografica_simple,clip_zeroshot,10,False,0.58874982024632,,0.3822222222222222,0.6,0.5,0.5,,1.0
q12,iconografica_relacional,solo_ocr,50,True,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
q12,iconografica_relacional,solo_vlm,50,True,0.6309297535714575,0.5,0.5,0.2,0.1,1.0,0.5,0.5
q12,iconografica_relacional,ocr_vlm,50,True,0.6309297535714575,0.5,0.5,0.2,0.1,1.0,0.5,0.5
q12,iconografica_relacional,ocr_vlm_hybrid_full,50,True,1.0,1.0,1.0,0.2,0.1,1.0,1.0,1.0
q12,iconografica_relacional,ocr_vlm_hybrid_segmented,50,True,1.0,1.0,1.0,0.2,0.1,1.0,1.0,1.0
q12,iconografica_relacional,bm25_ocr,10,False,0.0,,0.0,0.0,0.0,0.0,,0.0
q12,iconografica_relacional,bm25_fusion,10,False,1.0,,1.0,0.2,0.1,1.0,,1.0
q12,iconografica_relacional,clip_zeroshot,10,False,1.0,,1.0,0.2,0.1,1.0,,1.0
q13,iconografica_relacional,solo_ocr,50,True,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
